Time,Boom_Top_Rel,Boom_Bottom_Rel,Bucket_X,Bucket_Y,Bucket_Z
1.4415,74.54999999998836,-82.25,0,0,0
1.4415,74.54999999998836,-105.25,0,0,0
1.443,85.54999999998836,-105.25,0,0,0
1.4438,85.54999999998836,-114.25,0,0,0
1.4438,128.54999999998836,-114.25,0,0,0
1.4448,128.54999999998836,-98.25,0,0,0
1.4458,105.54999999998836,-98.25,0,0,0
1.4458,98.54999999998836,-133.25,0,0,0
1.447,98.54999999998836,-133.25,0,0,0
1.4477,114.54999999998836,-141.25,0,0,0
1.4487,114.54999999998836,-141.25,0,0,0
1.4492,115.54999999998836,-122.25,0,0,0
1.4492,95.54999999998836,-84.25,0,0,0
1.4502,95.54999999998836,-84.25,0,0,0
1.49,70.54999999998836,-132.25,0,0,0
1.5414,70.54999999998836,-132.25,0,0,0
1.5895,71.54999999998836,-136.25,0,0,0
1.6398,80.54999999998836,-136.25,0,0,0
1.6993,80.54999999998836,-72.25,0,0,0
1.7451,88.54999999998836,-72.25,0,0,0
1.7921,88.54999999998836,-63.25,0,0,0
2.0356,105.54999999998836,-63.25,9,-11,518
2.0356,105.54999999998836,-105.25,9,-11,518
2.0366,104.54999999998836,-73.25,9,-11,518
2.0366,147.54999999998836,-73.25,9,-11,518
2.0586,147.54999999998836,-83.25,9,-12,518
2.2185,172.54999999998836,-83.25,9,-11,518
2.2195,172.54999999998836,-62.25,9,-11,518
2.2195,113.54999999998836,-62.25,9,-11,518
2.2585,88.54999999998836,-61.25,9,-11,518
2.4638,88.54999999998836,-61.25,0,0,0
2.4638,115.54999999998836,-138.25,0,0,0
2.4648,115.54999999998836,-138.25,0,0,0
2.4658,126.54999999998836,-154.25,0,0,0
2.5169,130.54999999998836,-120.25,0,0,0
2.5639,130.54999999998836,-120.25,9,-11,518
2.6117,171.54999999998836,-142.25,9,-11,518
2.8369,171.54999999998836,-142.25,9,-12,518
2.838,141.54999999998836,-147.25,9,-12,518
2.839,141.54999999998836,-147.25,9,-12,518
2.839,107.54999999998836,-117.25,9,-12,518
2.8699,132.54999999998836,-117.25,9,-12,518
3.0661,132.54999999998836,-107.25,9,-11,518
3.0666,163.54999999998836,-113.25,9,-11,518
3.0666,163.54999999998836,-113.25,9,-11,518
3.0786,159.54999999998836,-159.25,0,0,0
3.2688,134.54999999998836,-159.25,9,-11,518
3.2698,134.54999999998836,-164.25,9,-11,518
3.2698,75.54999999998836,-164.25,9,-11,518
3.2788,75.54999999998836,-117.25,9,-11,518
3.477,80.54999999998836,-117.25,9,-11,511
3.477,147.54999999998836,-98.25,9,-11,511
3.477,147.54999999998836,-98.25,9,-11,511
3.484,184.54999999998836,-142.25,9,-11,511
4.714,-8.450000000011642,7.850000000093132,9,-11,518
4.714,-18.45000000001164,-14.149999999906868,9,-11,518
4.715,-18.45000000001164,-33.14999999990687,9,-11,518
4.715,-43.45000000001164,-33.14999999990687,9,-11,518
4.7684,-43.45000000001164,-37.14999999990687,9,-11,518
4.909,-40.45000000001164,-37.14999999990687,9,-11,518
4.909,33.54999999998836,-42.14999999990687,9,-11,518
4.926,33.54999999998836,-42.14999999990687,9,-11,518
5.1295,298.54999999998836,-285.14999999990687,9,-11,518
5.1305,298.54999999998836,-285.14999999990687,9,-11,518
5.1316,229.54999999998836,208.85000000009313,9,-11,518
5.1316,169.54999999998836,208.85000000009313,9,-11,518
5.179,169.54999999998836,315.85000000009313,9,-11,518
5.3529,422.54999999998836,-1052.1499999999069,0,0,0
5.3529,422.54999999998836,-1052.1499999999069,0,0,0
5.3539,74.54999999998836,756.8500000000931,0,0,0
5.3814,74.54999999998836,756.8500000000931,0,0,0
5.5587,185.54999999998836,175.85000000009313,0,0,0
5.5587,456.54999999998836,175.85000000009313,0,0,0
5.5602,456.54999999998836,437.85000000009313,0,0,0
5.5867,221.54999999998836,437.85000000009313,0,0,0
